filename,family,name,peakDbfs,rmsDbfs,crestDb,dcOffset,stereoCorrelation,centroidHz,lowRatio,midRatio,highRatio,envMotionDb,centroidMotionHz,loopClickEnergy,clippedSamples,issues
011 - Bass -  Muted Bass.acp,Bass,Bass / Muted Bass,5.01,-4.02,9.03,-0.000000,0.9987,510.4,0.7006,0.2256,0.0738,27.292,432.5,0.5330,122466,hard clipping (122466 samples); loop seam click 0.533
012 - Bass -  Glide Bass.acp,Bass,Bass / Glide Bass,4.70,-6.38,11.08,0.000000,0.9989,2155.6,0.3484,0.3403,0.3113,23.797,712.7,0.1305,49891,hard clipping (49891 samples); bass centroid too high (2155.6 Hz)
013 - Bass -  Filter Env Bass.acp,Bass,Bass / Filter Env Bass,8.46,-2.01,10.47,-0.000000,0.9988,1691.7,0.3689,0.3613,0.2699,28.207,2707.2,1.6783,138356,hard clipping (138356 samples); loop seam click 1.678; bass centroid too high (1691.66 Hz)
014 - Bass -  FM Bass.acp,Bass,Bass / FM Bass,5.23,-2.53,7.76,0.000000,0.9987,132.3,0.8900,0.1038,0.0061,27.794,351.1,0.1473,156984,hard clipping (156984 samples)
015 - Bass -  Dirty Saw Bass.acp,Bass,Bass / Dirty Saw Bass,4.12,-6.24,10.36,0.000000,0.9986,9329.1,0.0856,0.1603,0.7541,24.062,1073.5,0.0477,48453,hard clipping (48453 samples); bass centroid too high (9329.09 Hz)
016 - Bass -  Punch Bass.acp,Bass,Bass / Punch Bass,4.95,-4.04,8.99,-0.000000,0.9988,536.6,0.6644,0.2628,0.0727,27.473,547.5,0.7508,121400,hard clipping (121400 samples); loop seam click 0.751
017 - Lead -  Clean Mono Lead.acp,Lead,Lead / Clean Mono Lead,3.85,-8.19,12.04,0.000000,0.9841,1934.1,0.0469,0.6533,0.2998,23.688,1510.7,0.2270,18345,hard clipping (18345 samples)
018 - Lead -  Wide Saw Lead.acp,Lead,Lead / Wide Saw Lead,3.71,-6.90,10.61,0.000024,0.9595,5184.0,0.0424,0.3918,0.5658,1.871,990.1,0.3642,10436,hard clipping (10436 samples); loop seam click 0.364
019 - Lead -  Square Lead.acp,Lead,Lead / Square Lead,7.22,-13.44,20.66,-0.000000,0.9830,4123.0,0.1253,0.3787,0.4960,21.726,1278.7,0.0000,4270,hard clipping (4270 samples)
020 - Lead -  Sync Style Lead.acp,Lead,Lead / Sync Style Lead,3.84,-7.85,11.68,-0.000000,0.9808,5714.6,0.0301,0.3545,0.6154,23.500,1125.5,0.2681,7798,hard clipping (7798 samples)
021 - Lead -  Portamento Lead.acp,Lead,Lead / Portamento Lead,2.99,-9.18,12.17,-0.000000,0.9826,4320.1,0.0305,0.4126,0.5569,17.727,757.4,0.7090,6464,hard clipping (6464 samples); loop seam click 0.709
022 - Lead -  Vocal Lead.acp,Lead,Lead / Vocal Lead,-8.10,-25.37,17.27,-0.000000,0.8953,5463.3,0.0004,0.3170,0.6827,18.890,1061.0,0.4052,0,loop seam click 0.405
023 - Lead -  Bright Digital Lead.acp,Lead,Lead / Bright Digital Lead,5.64,-3.83,9.47,0.000000,0.9727,936.9,0.1011,0.8019,0.0970,24.747,800.0,1.7454,106833,hard clipping (106833 samples); loop seam click 1.745
024 - Lead -  Soft Expressive Lead.acp,Lead,Lead / Soft Expressive Lead,3.98,-7.07,11.05,-0.000000,0.9123,3212.4,0.0008,0.5802,0.4190,22.055,698.1,0.5018,30595,hard clipping (30595 samples); loop seam click 0.502
025 - Lead -  Distorted Lead.acp,Lead,Lead / Distorted Lead,5.71,-3.85,9.56,0.000001,0.9845,4096.3,0.1389,0.3863,0.4748,13.291,581.3,0.0553,81610,hard clipping (81610 samples)
026 - Lead -  Bell Lead.acp,Lead,Lead / Bell Lead,4.41,-9.13,13.53,0.000000,0.9570,1182.8,0.0025,0.8314,0.1661,22.697,394.8,0.1366,9872,hard clipping (9872 samples)
